function, code1, hexcode1, code2, hexcode2
"I MANUAL","sendir,1:1,1,40000,1,1,95,23,47,23,47,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,750 ","0000 0068 0000 0010 005F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 02EE",,

"INFO","sendir,1:1,1,40000,1,1,95,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,25,24,24,24,1005 ","0000 0068 0000 000D 005F 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0019 0018 0018 0018 03ED",,

"INPUT ANTENNA","sendir,1:1,1,40000,1,1,97,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0061 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"INPUT HD 1","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,912 ","0000 0067 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0390",,

"INPUT HD 1 (2010)","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,912 ","0000 0067 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0390",,

"INPUT HD 1 (2011)","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,912 ","0000 0067 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0390",,

"INPUT HD 1 COMPONENT","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,824 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0338",,

"INPUT HD 2","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,888 ","0000 0067 0000 0010 0060 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0378",,

"INPUT HD 2 (2010)","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,888 ","0000 0067 0000 0010 0060 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0378",,

"INPUT HD 2 (2011)","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,888 ","0000 0067 0000 0010 0060 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0378",,

"INPUT HD 2 COMPONENT","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,806 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0326",,

"INPUT HDMI 1","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,824 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0338",,

"INPUT HDMI 1 (2010)","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1056 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0420",,

"INPUT HDMI 1 (2011)","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1056 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0420",,

"INPUT HDMI 1 ALTERNATE","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1056 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0420",,

"INPUT HDMI 2","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,806 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0326",,

"INPUT HDMI 2 (2010)","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 2 (2011)","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 2 ALTERNATE","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 3","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,824 ","0000 0068 0000 0010 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0338",,

"INPUT HDMI 3 (2010)","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1056 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0420",,

"INPUT HDMI 3 (2011)","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1056 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0420",,

"INPUT HDMI 3 ALTERNATE","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1056 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0420",,

"INPUT HDMI 4","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,806 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0326",,

"INPUT HDMI 4 (2010)","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 4 (2011)","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 4 ALTERNATE","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 5","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,806 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0326",,

"INPUT HDMI 5 (2010)","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 5 (2011)","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI 5 ALTERNATE","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"INPUT HDMI SCROLL","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,1056 ","0000 0068 0000 000D 0060 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0420",,

"INPUT MEMORY STICK","sendir,1:1,1,40000,1,1,98,25,49,25,25,25,25,25,25,25,49,25,49,25,25,25,49,25,49,25,49,25,25,25,49,25,25,25,25,25,49,796 ","0000 0068 0000 0010 0062 0019 0031 0019 0019 0019 0019 0019 0019 0019 0031 0019 0031 0019 0019 0019 0031 0019 0031 0019 0031 0019 0019 0019 0031 0019 0019 0019 0019 0019 0031 031c",,

"INPUT OPTION 1","sendir,1:1,1,40000,1,1,95,23,23,23,47,23,23,23,23,23,23,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,772 ","0000 0068 0000 0010 005F 0017 0017 0017 002F 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0304",,

"INPUT OPTION 2","sendir,1:1,1,40000,1,1,95,23,47,23,47,23,23,23,23,23,23,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,748 ","0000 0068 0000 0010 005F 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 02EC",,

"INPUT PC/RGB","sendir,1:1,1,40000,1,1,96,25,49,25,49,25,25,25,25,25,25,25,25,25,49,25,49,25,25,25,25,25,25,25,25,1013 ","0000 0068 0000 000D 0060 0019 0031 0019 0031 0019 0019 0019 0019 0019 0019 0019 0019 0019 0031 0019 0031 0019 0019 0019 0019 0019 0019 0019 0019 03F5",,

"INPUT SCROLL","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1033 ","0000 0068 0000 000D 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0409",,

"INPUT VIDEO 1","sendir,1:1,1,40000,1,1,97,24,24,24,24,24,24,24,24,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1080 ","0000 0068 0000 000d 0061 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0438",,

"INPUT VIDEO 10","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,24,810 ","0000 0068 0000 000d 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 032a",,

"INPUT VIDEO 11","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,24,810 ","0000 0068 0000 000d 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 032a",,

"INPUT VIDEO 12","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,48,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,24,810 ","0000 0068 0000 000d 0060 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 032a",,

"INPUT VIDEO 2","sendir,1:1,1,40000,1,1,97,24,48,24,24,24,24,24,24,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0061 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"INPUT VIDEO 3","sendir,1:1,1,40000,1,1,97,24,24,24,48,24,24,24,24,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0061 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"INPUT VIDEO 4","sendir,1:1,1,40000,1,1,96,25,48,24,48,24,48,24,24,24,24,25,24,24,48,24,48,24,24,24,24,25,24,24,24,1013 ","0000 0068 0000 000d 0060 0019 0030 0018 0030 0018 0030 0018 0018 0018 0018 0019 0018 0018 0030 0018 0030 0018 0018 0018 0018 0019 0018 0018 0018 03f5",,

"INPUT VIDEO 5","sendir,1:1,1,40000,1,1,96,25,24,24,24,25,24,25,48,24,24,24,24,24,48,24,48,24,24,25,24,24,24,25,24,1058 ","0000 0068 0000 000d 0060 0019 0018 0018 0018 0019 0018 0019 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0019 0018 0018 0018 0019 0018 0422",,

"INPUT VIDEO 6","sendir,1:1,1,40000,1,1,96,25,48,24,24,25,24,24,48,24,24,25,24,25,48,24,48,24,24,24,24,24,24,24,24,1035 ","0000 0068 0000 000d 0060 0019 0030 0018 0018 0019 0018 0018 0030 0018 0018 0019 0018 0019 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 040b",,

"INPUT VIDEO 7","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,24,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,810 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 032A",,

"INPUT VIDEO 8","sendir,1:1,1,40000,1,1,96,25,49,25,25,25,49,25,25,25,25,25,49,25,49,25,49,25,49,25,49,25,25,25,49,25,49,25,49,25,25,720 ","0000 0068 0000 0010 0060 0019 0031 0019 0019 0019 0031 0019 0019 0019 0019 0019 0031 0019 0031 0019 0031 0019 0031 0019 0031 0019 0019 0019 0031 0019 0031 0019 0031 0019 0019 02D0",,

"INPUT VIDEO 9","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,24,24,48,24,48,24,48,24,48,24,48,24,24,24,48,24,48,24,48,24,24,743 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 02E7",,

"INTERNET APPS","sendir,1:1,1,40000,1,1,95,23,23,23,47,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,795 ","0000 0068 0000 0010 005F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 031B",,

"INTERNET CC SUBTITLE","sendir,1:1,1,40000,1,1,95,23,23,23,23,23,23,23,23,23,47,23,23,23,23,23,23,23,23,23,47,23,23,23,23,23,47,23,23,23,47,870 ","0000 0068 0000 0010 005F 0017 0017 0017 0017 0017 0017 0017 0017 0017 002F 0017 0017 0017 0017 0017 0017 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0366",,

"INTERNET QRIOCITY","sendir,1:1,1,40000,1,1,95,23,47,23,23,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,750 ","0000 0068 0000 0010 005F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 02EE",,

"INTERNET TV","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,789 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0315",,

"INTERNET VIDEO","sendir,1:1,1,40000,1,1,95,23,47,23,23,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,774 ","0000 0068 0000 0010 005F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0306",,

"INTERNET WIDGETS","sendir,1:1,1,40000,1,1,95,23,23,23,47,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,774 ","0000 0068 0000 0010 005F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0306",,

"KEYPAD","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,792 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0318",,

"MEMORY STICK","sendir,1:1,1,40000,1,1,95,23,47,23,23,23,23,23,23,23,47,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,795 ","0000 0068 0000 0010 005F 0017 002F 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 031B",,

"MENU HOME","sendir,1:1,1,40000,1,1,95,23,23,23,23,23,23,23,23,23,23,23,48,23,48,23,48,23,23,23,23,23,23,23,23,1059 ","0000 0068 0000 000D 005F 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0423",,

"MENU MAIN","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,24,24,24,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"MENU OPTIONS","sendir,1:1,1,40000,1,1,95,23,23,23,48,23,48,23,23,23,48,23,48,23,23,23,48,23,48,23,48,23,23,23,48,23,23,23,23,23,48,768 ","0000 0068 0000 0010 005F 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0030 0300",,

"MENU POP UP","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,24,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,48,1080 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0438",,

"MENU SYNC","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,23,23,47,23,47,23,23,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,844 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 034C",,

"MENU TOP","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,24,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,48,1104 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0450",,

"MTS SAP","sendir,1:1,1,40000,1,1,95,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1004 ","0000 0068 0000 000D 005F 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03EC",,

"MUTE TOGGLE","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"NETFLIX","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,1032 ","0000 0068 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0408",,

"NEXT","sendir,1:1,1,40000,1,1,96,23,47,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,748 ","0000 0068 0000 0010 0060 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 02EC",,

"OPTION","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,864 ","0000 0067 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0360",,

"PAUSE","sendir,1:1,1,40000,1,1,96,23,47,23,23,23,23,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,795 ","0000 0068 0000 0010 0060 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 031B",,

"PHOTO FRAME","sendir,1:1,1,40000,1,1,96,23,47,23,23,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,772 ","0000 0068 0000 0010 0060 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0304",,

"PICTURE MODE","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,24,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1033 ","0000 0068 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0409",,

"PICTURE OFF","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,980 ","0000 0068 0000 000D 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03D4",,

"PIP CHANNEL DOWN","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

