function, code1, hexcode1, code2, hexcode2
"BRAVIA PREVIOUS","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,771 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0303",,

"BRAVIA REVERSE","sendir,1:1,1,40000,1,1,95,23,47,23,47,23,23,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,771 ","0000 0068 0000 0010 005F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0303",,

"BRAVIA STOP","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,23,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,820 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0334",,

"BRAVIA SYNC MENU","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,23,23,47,23,47,23,23,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,844 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 034C",,

"BRAVIA THEATER","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,23,23,23,23,23,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,795 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 031B",,

"CC","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,24,24,48,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,531 ","0000 0068 0000 0015 0060 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0213",,

"CHANNEL ADD","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,48,24,48,24,48,24,48,25,48,24,24,24,24,24,24,24,24,1006 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0019 0030 0018 0018 0018 0018 0018 0018 0018 0018 03ee",,

